31.01.2023|12:38:10*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.01.2023|15:33:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.01.2023|15:28:38*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.01.2023|11:14:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.01.2023|11:03:28*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
15.01.2023|10:55:21*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|20:37:23*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|20:31:57*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|17:18:34*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|17:06:33*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|16:49:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|16:31:26*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|15:06:53*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|15:01:58*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|12:46:11*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|12:27:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|10:44:34*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|10:41:21*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|10:16:10*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|10:02:28*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
14.01.2023|09:59:09*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
13.01.2023|19:20:36*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
13.01.2023|19:07:12*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
13.01.2023|18:48:02*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.01.2023|01:11:41*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.01.2023|00:48:22*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.01.2023|00:42:08*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
10.01.2023|00:34:52*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|22:28:36*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|13:29:42*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|13:24:43*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|13:03:41*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|13:01:01*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|01:08:17*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:58:56*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:54:32*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:50:15*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:42:47*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:36:52*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:31:37*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:27:33*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:25:42*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:20:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:17:14*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:09:15*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
09.01.2023|00:04:14*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|23:56:20*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|03:21:15*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|03:16:28*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|03:11:09*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|02:57:30*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.01.2023|02:56:39*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
